experiment_name,modalities,n_samples,n_hoax,n_valid,n_tbh,n_news,n_youtube,filepath
text_only,text,3276,1225,2051,1173,1895,208,D:\INDONERIS-DATAMINING\multimodal-hoax-detection\data\training\multimodal_splits\text_only_dataset.csv
image_only,image,3276,1225,2051,1173,1895,208,D:\INDONERIS-DATAMINING\multimodal-hoax-detection\data\training\multimodal_splits\image_only_dataset.csv
text_image,"text, image",3276,1225,2051,1173,1895,208,D:\INDONERIS-DATAMINING\multimodal-hoax-detection\data\training\multimodal_splits\text_image_dataset.csv
text_audio,"text, audio",208,52,156,0,0,208,D:\INDONERIS-DATAMINING\multimodal-hoax-detection\data\training\multimodal_splits\text_audio_dataset.csv
text_image_audio,"text, image, audio",208,52,156,0,0,208,D:\INDONERIS-DATAMINING\multimodal-hoax-detection\data\training\multimodal_splits\text_image_audio_dataset.csv
